age,tenure,monthly_charges,contract_type,churn
62,25,55.81074751151223,month,1
65,67,58.523741854992764,1yr,0
18,35,111.67270193301819,2yr,0
21,30,31.381664038986116,month,0
21,29,83.11255415710575,month,1
57,33,33.28149987686938,1yr,0
27,18,57.42445809714211,2yr,1
37,17,52.44048636316378,2yr,0
39,2,88.01155376270953,2yr,1
68,69,99.55347461391472,month,0
54,12,70.39336118794355,month,0
41,44,49.62423883711427,1yr,0
24,66,108.5962269002118,month,1
42,39,55.187056092725555,1yr,0
42,39,93.83903376936127,1yr,1
30,22,75.53612630261748,2yr,0
19,30,40.15177133232183,1yr,0
56,17,74.85190962798103,2yr,1
57,70,71.9642829449547,2yr,0
41,71,54.87826641705995,month,0
64,18,22.46199570564557,month,1
42,43,34.88293034431752,1yr,1
35,49,33.18520381629526,1yr,0
55,41,90.79174626754349,1yr,0
43,46,90.90721135651303,1yr,0
31,21,81.17484144329579,month,0
26,28,87.1907016279956,1yr,0
27,58,64.75158707610248,2yr,0
38,0,89.60771689660051,month,0
69,63,57.83261448451712,2yr,0
34,16,30.00320492894057,1yr,0
69,36,116.02567843749067,month,0
23,24,27.24344474657973,2yr,0
33,63,21.9300606451071,month,0
65,67,117.95732518644897,2yr,0
18,51,34.84780877249719,month,1
36,8,45.870232207150124,2yr,0
53,56,41.55288115645448,2yr,0
42,32,77.99123983985056,2yr,0
67,19,117.57516851399299,month,0
69,71,47.30089012939047,2yr,0
47,13,117.00750738510008,2yr,0
37,58,22.549734896729483,1yr,1
37,55,108.80437054177104,2yr,1
32,64,90.860883824811,1yr,0
57,36,47.77736736315105,month,1
50,25,109.48631921780887,2yr,0
19,32,22.652255259897572,month,0
27,42,82.56366173439284,1yr,0
50,14,52.954271081208255,1yr,0
49,28,116.7121130692352,month,0
28,20,36.857640481509485,2yr,0
41,68,110.14829863134214,month,0
53,22,52.993565087121354,1yr,0
29,7,108.92333217310002,1yr,1
68,61,71.24516587590873,2yr,1
46,13,71.062890693618,1yr,0
52,5,58.682715356733254,2yr,0
18,0,73.0088935959223,2yr,0
18,8,114.47074808964759,2yr,1
54,53,109.28622469672834,1yr,1
23,11,87.71143998332181,month,0
56,4,83.90273844915812,month,0
58,39,74.8361337775251,1yr,0
35,45,47.268311786411736,month,1
33,26,34.82686421476278,month,0
22,52,105.63029768335466,1yr,0
59,49,83.50567989821495,month,1
60,51,49.96434942475267,1yr,0
49,18,66.02197063913871,2yr,1
19,34,22.452739723427,2yr,0
19,51,75.8065100924011,month,0
57,30,56.11515171043168,1yr,0
59,53,70.27095407690281,2yr,0
53,58,35.36275373720616,1yr,0
56,43,62.55076374308092,1yr,0
29,55,110.61718405949402,1yr,0
64,18,20.85115900566275,month,0
36,45,116.88640997540202,2yr,0
45,65,89.08937254227938,month,1
18,70,29.941639436140836,1yr,0
32,53,48.97758759205789,2yr,1
53,48,73.90735467669154,month,0
30,59,92.41478484039085,2yr,0
60,26,58.886743040906794,month,0
38,35,42.708397095796954,1yr,0
29,58,65.4859879615845,2yr,0
22,49,117.20825075264246,1yr,0
24,44,103.38182342258864,1yr,0
22,13,111.47906602686022,2yr,0
65,70,86.7284844044465,2yr,0
21,38,64.0666093034138,month,0
30,39,88.5091991050595,month,0
54,8,84.85983083692555,1yr,0
58,13,22.910001420110575,month,1
32,7,111.95314354989151,2yr,0
33,22,74.24570027145418,2yr,0
38,8,119.11416509743957,2yr,0
53,6,58.31028915491432,1yr,0
41,71,100.66693253136108,month,1
33,66,66.10068293493948,month,0
31,60,102.68242136411484,month,0
39,16,73.91182349867722,month,0
66,56,108.72648394626437,month,0
67,23,108.01068635197443,month,0
23,24,52.83033082892109,month,0
59,4,60.442494288519114,1yr,0
53,49,74.46473574026356,month,1
18,30,82.16928996348437,month,0
49,54,57.93560782249866,month,1
23,25,74.21294535799385,1yr,0
48,20,32.091936113913405,month,0
18,57,88.06972386680347,1yr,0
67,23,48.711926168416745,1yr,1
68,27,24.297640859918893,1yr,0
54,29,31.60983371439115,2yr,0
52,33,30.64294068125784,month,1
66,53,51.64879187132021,2yr,0
47,51,44.65347942124507,month,0
21,7,76.27831242980727,1yr,1
52,9,110.63542273675475,1yr,0
60,54,78.01069131963303,month,0
31,0,79.79367304324688,month,0
66,36,43.80435236385135,1yr,0
57,20,78.0887274147797,month,0
39,3,34.587015406129886,month,0
27,42,53.56309789438825,2yr,1
18,65,82.55279710627107,1yr,0
28,20,56.13056815897162,2yr,1
68,36,111.09939876750019,1yr,0
61,68,107.84926238627398,2yr,1
41,47,63.4155576377692,month,0
20,10,71.76121001025925,month,0
52,43,67.46679880301129,1yr,1
